Starting aircraft logger...
Connecting to 127.0.0.1:30003...
Connected. Listening for aircraft data...
Logged aircraft: ['2025-05-05 03:36:57', '7C4A53', 'JST513', '15175', '299', '-37.49345', '145.56473']
Flushed stale aircraft: ['2025-05-05 03:37:25', '7C6C9C', '', '23400', '400', '-37.35727', '145.46553']
Flushed stale aircraft: ['2025-05-05 03:38:36', '7C5D94', '', '14025', '233', '', '']
Flushed stale aircraft: ['2025-05-05 03:39:41', '7C585F', '', '23050', '', '', '']
Flushed stale aircraft: ['2025-05-05 03:40:41', '7C4A53', '', '13850', '', '', '']
Flushed stale aircraft: ['2025-05-05 03:40:41', '7C7BCE', '', '', '308', '', '']
Logged aircraft: ['2025-05-05 03:44:28', 'C820D2', 'ANZ175', '36000', '428', '-37.80620', '146.18572']
Logged aircraft: ['2025-05-05 03:44:58', 'C820D2', 'ANZ175', '36000', '435', '-37.78853', '146.03799']
Logged aircraft: ['2025-05-05 03:45:03', 'C820D2', 'ANZ175', '36000', '437', '-37.77979', '145.96585']
Logged aircraft: ['2025-05-05 03:45:08', 'C820D2', 'ANZ175', '36000', '437', '-37.77821', '145.95277']
Logged aircraft: ['2025-05-05 03:45:09', 'C820D2', 'ANZ175', '35975', '436', '-37.77667', '145.93993']
Logged aircraft: ['2025-05-05 03:45:18', 'C820D2', 'ANZ175', '36000', '436', '-37.77640', '145.93794']
Logged aircraft: ['2025-05-05 03:45:21', 'C820D2', 'ANZ175', '35975', '435', '-37.77351', '145.91510']
Logged aircraft: ['2025-05-05 03:45:23', 'C820D2', 'ANZ175', '35975', '435', '-37.77274', '145.90884']
Logged aircraft: ['2025-05-05 03:45:29', 'C820D2', 'ANZ175', '35975', '435', '-37.77182', '145.90130']
Logged aircraft: ['2025-05-05 03:45:34', 'C820D2', 'ANZ175', '35975', '434', '-37.77036', '145.88926']
Logged aircraft: ['2025-05-05 03:45:39', 'C820D2', 'ANZ175', '35975', '434', '-37.76876', '145.87599']
Logged aircraft: ['2025-05-05 03:45:44', 'C820D2', 'ANZ175', '35975', '434', '-37.76729', '145.86373']
Logged aircraft: ['2025-05-05 03:45:48', 'C820D2', 'ANZ175', '35975', '434', '-37.76592', '145.85198']
Logged aircraft: ['2025-05-05 03:45:54', 'C820D2', 'ANZ175', '36000', '434', '-37.76445', '145.83971']
Logged aircraft: ['2025-05-05 03:45:58', 'C820D2', 'ANZ175', '36000', '434', '-37.76294', '145.82668']
Logged aircraft: ['2025-05-05 03:46:09', 'C820D2', 'ANZ175', '36000', '434', '-37.76145', '145.81443']
Logged aircraft: ['2025-05-05 03:46:09', 'C820D2', 'ANZ175', '36000', '434', '-37.75829', '145.78792']
Logged aircraft: ['2025-05-05 03:46:19', 'C820D2', 'ANZ175', '36000', '434', '-37.75801', '145.78541']
Logged aircraft: ['2025-05-05 03:46:20', 'C820D2', 'ANZ175', '35975', '433', '-37.75548', '145.76415']
Logged aircraft: ['2025-05-05 03:46:24', 'C820D2', 'ANZ175', '35975', '432', '-37.75493', '145.75971']
Logged aircraft: ['2025-05-05 03:46:29', 'C820D2', 'ANZ175', '35975', '432', '-37.75401', '145.75223']
Logged aircraft: ['2025-05-05 03:46:33', 'C820D2', 'ANZ175', '35975', '431', '-37.75251', '145.74003']
Logged aircraft: ['2025-05-05 03:46:38', 'C820D2', 'ANZ175', '35975', '431', '-37.75090', '145.72686']
Logged aircraft: ['2025-05-05 03:46:43', 'C820D2', 'ANZ175', '35975', '430', '-37.74940', '145.71472']
Logged aircraft: ['2025-05-05 03:46:48', 'C820D2', 'ANZ175', '35975', '429', '-37.74779', '145.70214']
Logged aircraft: ['2025-05-05 03:46:53', 'C820D2', 'ANZ175', '35975', '430', '-37.74623', '145.69000']
Logged aircraft: ['2025-05-05 03:46:59', 'C820D2', 'ANZ175', '35975', '430', '-37.74469', '145.67817']
Logged aircraft: ['2025-05-05 03:47:04', 'C820D2', 'ANZ175', '36000', '431', '-37.74298', '145.66504']
Logged aircraft: ['2025-05-05 03:47:08', 'C820D2', 'ANZ175', '35975', '431', '-37.74147', '145.65312']
Logged aircraft: ['2025-05-05 03:47:08', 'C820D2', 'ANZ175', '36000', '432', '-37.74004', '145.64145']
Logged aircraft: ['2025-05-05 03:47:13', 'C820D2', 'ANZ175', '36000', '432', '-37.73990', '145.64044']
Logged aircraft: ['2025-05-05 03:47:18', 'C820D2', 'ANZ175', '36000', '433', '-37.73836', '145.62775']
Logged aircraft: ['2025-05-05 03:47:28', 'C820D2', 'ANZ175', '36000', '434', '-37.73678', '145.61500']
Logged aircraft: ['2025-05-05 03:47:38', 'C820D2', 'ANZ175', '36000', '434', '-37.73385', '145.59100']
Logged aircraft: ['2025-05-05 03:50:23', '7C6DE2', 'QFA446', '19775', '422', '-37.15148', '145.41880']
Flushed stale aircraft: ['2025-05-05 03:51:53', 'C820D2', '', '36000', '435', '-37.73064', '145.56491']
Flushed stale aircraft: ['2025-05-05 03:52:53', '7C6DE2', '', '20275', '423', '-37.15036', '145.42077']
Logged aircraft: ['2025-05-05 03:56:48', '7C6D75', 'JST517', '15850', '288', '-37.44873', '145.64248']
Logged aircraft: ['2025-05-05 03:56:53', '7C6D75', 'JST517', '15575', '290', '-37.45450', '145.63155']
Logged aircraft: ['2025-05-05 03:56:58', '7C6D75', 'JST517', '15450', '289', '-37.45834', '145.62425']
Logged aircraft: ['2025-05-05 03:57:04', '7C6D75', 'JST517', '15325', '290', '-37.46210', '145.61729']
Logged aircraft: ['2025-05-05 03:57:08', '7C6D75', 'JST517', '15200', '289', '-37.46613', '145.61011']
Logged aircraft: ['2025-05-05 03:57:13', '7C6D75', 'JST517', '15075', '290', '-37.46971', '145.60384']
Logged aircraft: ['2025-05-05 03:57:18', '7C6D75', 'JST517', '14975', '289', '-37.47320', '145.59787']
Logged aircraft: ['2025-05-05 03:57:23', '7C6D75', 'JST517', '14850', '289', '-37.47716', '145.59112']
Logged aircraft: ['2025-05-05 03:57:28', '7C6D75', 'JST517', '14750', '287', '-37.48167', '145.58366']
Logged aircraft: ['2025-05-05 03:57:33', '7C6D75', 'JST517', '14625', '286', '-37.48633', '145.57595']
Logged aircraft: ['2025-05-05 03:57:39', '7C6D75', 'JST517', '14525', '285', '-37.49001', '145.56986']
Flushed stale aircraft: ['2025-05-05 04:00:13', '7C6D75', '', '14375', '284', '-37.49432', '145.56277']
Logged aircraft: ['2025-05-05 04:01:57', '7C6A53', 'AM320', '15000', '301', '-38.04165', '145.72134']
Logged aircraft: ['2025-05-05 04:02:17', '7C6A53', 'AM320', '15000', '303', '-38.05050', '145.75138']
Logged aircraft: ['2025-05-05 04:02:32', '7C6A53', 'AM320', '15000', '301', '-38.05989', '145.78308']
Logged aircraft: ['2025-05-05 04:02:37', '7C6A53', 'AM320', '15000', '300', '-38.06716', '145.80762']
Logged aircraft: ['2025-05-05 04:02:47', '7C6A53', 'AM320', '15000', '300', '-38.06940', '145.81520']
Logged aircraft: ['2025-05-05 04:02:52', '7C6A53', 'AM320', '15000', '301', '-38.07426', '145.83188']
